,output
0013,"{""geoLocation"": {""longitude"": 77.637506, ""latitude"": 12.912333}, ""code"": ""spot0013"", ""description"": ""testing"", ""owner"": {""id"": ""owner0013"", ""firstName"": ""owner0013_first"", ""lastName"": ""owner0013_last"", ""userId"": ""owner0013@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""No 3"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""Pizza Hut hsr"", ""doorNo"": ""0013""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0013"", ""ownerId"": ""owner0013""}]}"
0014,"{""geoLocation"": {""longitude"": 77.637934, ""latitude"": 12.911904}, ""code"": ""spot0014"", ""description"": ""testing"", ""owner"": {""id"": ""owner0014"", ""firstName"": ""owner0014_first"", ""lastName"": ""owner0014_last"", ""userId"": ""owner0014@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""36"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""Subway hsr"", ""doorNo"": ""0014""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0014"", ""ownerId"": ""owner0014""}]}"
0015,"{""geoLocation"": {""longitude"": 77.638581, ""latitude"": 12.911972}, ""code"": ""spot0015"", ""description"": ""testing"", ""owner"": {""id"": ""owner0015"", ""firstName"": ""owner0015_first"", ""lastName"": ""owner0015_last"", ""userId"": ""owner0015@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""1082"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""The Punjabi Rasoi hsr"", ""doorNo"": ""0015""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0015"", ""ownerId"": ""owner0015""}]}"
0016,"{""geoLocation"": {""longitude"": 77.638801, ""latitude"": 12.911832}, ""code"": ""spot0016"", ""description"": ""testing"", ""owner"": {""id"": ""owner0016"", ""firstName"": ""owner0016_first"", ""lastName"": ""owner0016_last"", ""userId"": ""owner0016@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Ground"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""House of Commons hsr"", ""doorNo"": ""0016""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0016"", ""ownerId"": ""owner0016""}]}"
0017,"{""geoLocation"": {""longitude"": 77.638844, ""latitude"": 12.912139}, ""code"": ""spot0017"", ""description"": ""testing"", ""owner"": {""id"": ""owner0017"", ""firstName"": ""owner0017_first"", ""lastName"": ""owner0017_last"", ""userId"": ""owner0017@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""1085"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""The Touch Club hsr"", ""doorNo"": ""0017""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0017"", ""ownerId"": ""owner0017""}]}"
0018,"{""geoLocation"": {""longitude"": 77.639224, ""latitude"": 12.911864}, ""code"": ""spot0018"", ""description"": ""testing"", ""owner"": {""id"": ""owner0018"", ""firstName"": ""owner0018_first"", ""lastName"": ""owner0018_last"", ""userId"": ""owner0018@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Site no. 1086/A"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""Twintulips hsr"", ""doorNo"": ""0018""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0018"", ""ownerId"": ""owner0018""}]}"
0019,"{""geoLocation"": {""longitude"": 77.638229, ""latitude"": 12.911599}, ""code"": ""spot0019"", ""description"": ""testing"", ""owner"": {""id"": ""owner0019"", ""firstName"": ""owner0019_first"", ""lastName"": ""owner0019_last"", ""userId"": ""owner0019@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""14th Main Rd"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""Max Fashion HSR"", ""doorNo"": ""0019""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0019"", ""ownerId"": ""owner0019""}]}"
0020,"{""geoLocation"": {""longitude"": 77.638867, ""latitude"": 12.911986}, ""code"": ""spot0020"", ""description"": ""testing"", ""owner"": {""id"": ""owner0020"", ""firstName"": ""owner0020_first"", ""lastName"": ""owner0020_last"", ""userId"": ""owner0020@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Sector 4"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""The Deck Longue hsr"", ""doorNo"": ""0020""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0020"", ""ownerId"": ""owner0020""}]}"
0021,"{""geoLocation"": {""longitude"": 77.702428, ""latitude"": 12.937535}, ""code"": ""spot0021"", ""description"": ""testing"", ""owner"": {""id"": ""owner0021"", ""firstName"": ""owner0021_first"", ""lastName"": ""owner0021_last"", ""userId"": ""owner0021@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Panathur Main Rd"", ""zipCode"": "" Karnataka 560103"", ""landmark"": ""All seasons super market"", ""doorNo"": ""0021""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0021"", ""ownerId"": ""owner0021""}]}"
0022,"{""geoLocation"": {""longitude"": 77.705535, ""latitude"": 12.935459}, ""code"": ""spot0022"", ""description"": ""testing"", ""owner"": {""id"": ""owner0022"", ""firstName"": ""owner0022_first"", ""lastName"": ""owner0022_last"", ""userId"": ""owner0022@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Kadubeesanahalli"", ""zipCode"": "" Karnataka 560087"", ""landmark"": ""Panathur Post Office"", ""doorNo"": ""0022""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0022"", ""ownerId"": ""owner0022""}]}"
0023,"{""geoLocation"": {""longitude"": 77.703258, ""latitude"": 12.937014}, ""code"": ""spot0023"", ""description"": ""testing"", ""owner"": {""id"": ""owner0023"", ""firstName"": ""owner0023_first"", ""lastName"": ""owner0023_last"", ""userId"": ""owner0023@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Kadubeesanahalli Bridge"", ""zipCode"": "" Karnataka 560103"", ""landmark"": ""Pulse Fitness Gym"", ""doorNo"": ""0023""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0023"", ""ownerId"": ""owner0023""}]}"
0024,"{""geoLocation"": {""longitude"": 77.706564, ""latitude"": 12.938033}, ""code"": ""spot0024"", ""description"": ""testing"", ""owner"": {""id"": ""owner0024"", ""firstName"": ""owner0024_first"", ""lastName"": ""owner0024_last"", ""userId"": ""owner0024@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Bellandur Railway Station Rd"", ""zipCode"": "" Karnataka 560103"", ""landmark"": ""Belandur Railway Station"", ""doorNo"": ""0024""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0024"", ""ownerId"": ""owner0024""}]}"
0025,"{""geoLocation"": {""longitude"": 77.699026, ""latitude"": 12.938174}, ""code"": ""spot0025"", ""description"": ""testing"", ""owner"": {""id"": ""owner0025"", ""firstName"": ""owner0025_first"", ""lastName"": ""owner0025_last"", ""userId"": ""owner0025@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""84/1"", ""zipCode"": "" Karnataka 560103"", ""landmark"": ""Swathi Deluxe"", ""doorNo"": ""0025""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0025"", ""ownerId"": ""owner0025""}]}"
0026,"{""geoLocation"": {""longitude"": 77.694756, ""latitude"": 12.935013}, ""code"": ""spot0026"", ""description"": ""testing"", ""owner"": {""id"": ""owner0026"", ""firstName"": ""owner0026_first"", ""lastName"": ""owner0026_last"", ""userId"": ""owner0026@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Embassy Tech Square Main Rd"", ""zipCode"": "" Karnataka 560103"", ""landmark"": ""cessna-Umiya Business Bay Tower 1"", ""doorNo"": ""0026""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0026"", ""ownerId"": ""owner0026""}]}"
0027,"{""geoLocation"": {""longitude"": 77.694179, ""latitude"": 12.934032}, ""code"": ""spot0027"", ""description"": ""testing"", ""owner"": {""id"": ""owner0027"", ""firstName"": ""owner0027_first"", ""lastName"": ""owner0027_last"", ""userId"": ""owner0027@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Embassy Tech Square Main Rd"", ""zipCode"": "" Karnataka 560103"", ""landmark"": ""cessna- UMIYA Business Bay Tower 2"", ""doorNo"": ""0027""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0027"", ""ownerId"": ""owner0027""}]}"
0028,"{""geoLocation"": {""longitude"": 77.695213, ""latitude"": 12.93724}, ""code"": ""spot0028"", ""description"": ""testing"", ""owner"": {""id"": ""owner0028"", ""firstName"": ""owner0028_first"", ""lastName"": ""owner0028_last"", ""userId"": ""owner0028@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Cessna Business Park Sarjapur - Marathahalli Outer Ring Road"", ""zipCode"": "" Karnataka 560103"", ""landmark"": ""Aloft Bengaluru Cessna Business Park"", ""doorNo"": ""0028""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0028"", ""ownerId"": ""owner0028""}]}"
0029,"{""geoLocation"": {""longitude"": 77.685158, ""latitude"": 12.932566}, ""code"": ""spot0029"", ""description"": ""testing"", ""owner"": {""id"": ""owner0029"", ""firstName"": ""owner0029_first"", ""lastName"": ""owner0029_last"", ""userId"": ""owner0029@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""SY NO 52/2 & 52/3"", ""zipCode"": "" Karnataka 560103"", ""landmark"": ""Sakra World Hospital"", ""doorNo"": ""0029""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0029"", ""ownerId"": ""owner0029""}]}"
0030,"{""geoLocation"": {""longitude"": 77.680959, ""latitude"": 12.927578}, ""code"": ""spot0030"", ""description"": ""testing"", ""owner"": {""id"": ""owner0030"", ""firstName"": ""owner0030_first"", ""lastName"": ""owner0030_last"", ""userId"": ""owner0030@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Marathahalli - Sarjapur Outer Ring Rd"", ""zipCode"": "" Karnataka 560103"", ""landmark"": ""Ecospace bellandur"", ""doorNo"": ""0030""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0030"", ""ownerId"": ""owner0030""}]}"
0031,"{""geoLocation"": {""longitude"": 77.669128, ""latitude"": 12.921635}, ""code"": ""spot0031"", ""description"": ""testing"", ""owner"": {""id"": ""owner0031"", ""firstName"": ""owner0031_first"", ""lastName"": ""owner0031_last"", ""userId"": ""owner0031@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""33"", ""zipCode"": "" Karnataka 560103"", ""landmark"": ""Microsoft Corporation"", ""doorNo"": ""0031""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0031"", ""ownerId"": ""owner0031""}]}"
0032,"{""geoLocation"": {""longitude"": 77.651433, ""latitude"": 12.92093}, ""code"": ""spot0032"", ""description"": ""testing"", ""owner"": {""id"": ""owner0032"", ""firstName"": ""owner0032_first"", ""lastName"": ""owner0032_last"", ""userId"": ""owner0032@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""#64 & 65"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""Al-Daaz"", ""doorNo"": ""0032""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0032"", ""ownerId"": ""owner0032""}]}"
0033,"{""geoLocation"": {""longitude"": 77.649627, ""latitude"": 12.924177}, ""code"": ""spot0033"", ""description"": ""testing"", ""owner"": {""id"": ""owner0033"", ""firstName"": ""owner0033_first"", ""lastName"": ""owner0033_last"", ""userId"": ""owner0033@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""82-51"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""Lord Jagannath temple"", ""doorNo"": ""0033""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0033"", ""ownerId"": ""owner0033""}]}"
0034,"{""geoLocation"": {""longitude"": 77.651842, ""latitude"": 12.912473}, ""code"": ""spot0034"", ""description"": ""testing"", ""owner"": {""id"": ""owner0034"", ""firstName"": ""owner0034_first"", ""lastName"": ""owner0034_last"", ""userId"": ""owner0034@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""1st Sector"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""NIFT College"", ""doorNo"": ""0034""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0034"", ""ownerId"": ""owner0034""}]}"
0035,"{""geoLocation"": {""longitude"": 77.644811, ""latitude"": 12.913503}, ""code"": ""spot0035"", ""description"": ""testing"", ""owner"": {""id"": ""owner0035"", ""firstName"": ""owner0035_first"", ""lastName"": ""owner0035_last"", ""userId"": ""owner0035@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""15th B Cross"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""CULT main"", ""doorNo"": ""0035""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0035"", ""ownerId"": ""owner0035""}]}"
0036,"{""geoLocation"": {""longitude"": 77.632799, ""latitude"": 12.907471}, ""code"": ""spot0036"", ""description"": ""testing"", ""owner"": {""id"": ""owner0036"", ""firstName"": ""owner0036_first"", ""lastName"": ""owner0036_last"", ""userId"": ""owner0036@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""5th Main Rd"", ""zipCode"": "" Karnataka 560102"", ""landmark"": ""Salarpuria Serenity Apartment"", ""doorNo"": ""0036""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0036"", ""ownerId"": ""owner0036""}]}"
0037,"{""geoLocation"": {""longitude"": 77.701054, ""latitude"": 12.937531}, ""code"": ""spot0037"", ""description"": ""testing"", ""owner"": {""id"": ""owner0037"", ""firstName"": ""owner0037_first"", ""lastName"": ""owner0037_last"", ""userId"": ""owner0037@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Panathur Main Rd"", ""zipCode"": "" Karnataka 560103"", ""landmark"": ""Vennela Shanthinikethan"", ""doorNo"": ""0037""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0037"", ""ownerId"": ""owner0037""}]}"
0038,"{""geoLocation"": {""longitude"": 77.697603, ""latitude"": 12.934289}, ""code"": ""spot0038"", ""description"": ""testing"", ""owner"": {""id"": ""owner0038"", ""firstName"": ""owner0038_first"", ""lastName"": ""owner0038_last"", ""userId"": ""owner0038@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": """", ""zipCode"": "" Karnataka 560103"", ""landmark"": ""POD- appartment"", ""doorNo"": ""0038""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0038"", ""ownerId"": ""owner0038""}]}"
0039,"{""geoLocation"": {""longitude"": 77.691773, ""latitude"": 12.9371}, ""code"": ""spot0039"", ""description"": ""testing"", ""owner"": {""id"": ""owner0039"", ""firstName"": ""owner0039_first"", ""lastName"": ""owner0039_last"", ""userId"": ""owner0039@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Block B"", ""zipCode"": "" Karnataka 560103"", ""landmark"": ""wallmart labs "", ""doorNo"": ""0039""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0039"", ""ownerId"": ""owner0039""}]}"
0040,"{""geoLocation"": {""longitude"": 77.684261, ""latitude"": 12.93033}, ""code"": ""spot0040"", ""description"": ""testing"", ""owner"": {""id"": ""owner0040"", ""firstName"": ""owner0040_first"", ""lastName"": ""owner0040_last"", ""userId"": ""owner0040@pod.com""}, ""address"": {""city"": ""Bengaluru"", ""country"": ""ind"", ""state"": ""Karnataka"", ""street"": ""Sai Arcade"", ""zipCode"": "" Karnataka 560103"", ""landmark"": ""Passport Seva Kendra"", ""doorNo"": ""0040""}, ""photos"": [{""fileName"": ""/root/file/photo.png"", ""id"": ""0040"", ""ownerId"": ""owner0040""}]}"
